"ITEMID", "TITLE", "TYPE", "confname", "DATE", "ISSN", "ISBN", "DOI", "URL", "PUB", "ISSUE", "VOLUME", "SERIES", "PAGES", "PUBLISHER", "PLACE", "PROCEEDINGS", "BOOK", "UNIVERSITY", "ARCHIVE_NAME", "ARCHIVE_LOCATION", "ABSTRACT", "AUTHOR_1_FIRST", "AUTHOR_1_LAST", "AUTHOR_1_SHORT", "AUTHOR_1_TYPE", "AUTHOR_2_FIRST", "AUTHOR_2_LAST", "AUTHOR_2_SHORT", "AUTHOR_2_TYPE", "AUTHOR_3_FIRST", "AUTHOR_3_LAST", "AUTHOR_3_SHORT", "AUTHOR_3_TYPE", "AUTHOR_4_FIRST", "AUTHOR_4_LAST", "AUTHOR_4_SHORT", "AUTHOR_4_TYPE", "AUTHOR_5_FIRST", "AUTHOR_5_LAST", "AUTHOR_5_SHORT", "AUTHOR_5_TYPE", "TAG_1", "TAG_2", "TAG_3", "TAG_4", "DATE_ADDED", "DATE_MODIFIED", "ZOTERO_KEY", "EXTRA"
"140", "Semantic tag cloud generation via DBpedia", "conferencePaper", "ECWeb", "2010-00-00 2010", "", "", "", "", "", "", "", "", "36–48", "", "", "11th International Conference on Electronic Commerce and Web Technologies ECWeb10 (2010)", "", "", "", "", "Many current recommender systems exploit textual annotations (tags) provided by users to retrieve and suggest online contents. The text-based recommendation provided by these systems could be enhanced (i) using unambiguous identifiers representative of tags and (ii) exploiting semantic relations among tags which are impossible to be discovered by traditional textual analysis. In this paper we concentrate on annotation and retrieval of web content, exploiting semantic tagging with DBpedia. We use semantic information stored in the DBpedia dataset and propose a new hybrid ranking system to rank keywords and to expand queries for- mulated by the user. Inputs of our ranking system are (i) the DBpedia dataset; (ii) external information sources such as classical search engine results and social tagging systems. We compare our approach with other RDF similarity measures, proving the validity of our algorithm with an extensive evaluation involving real users.", "R.", "Mirizzi", "", "author", "A.", "Ragone", "", "author", "T.", "Di Noia", "", "author", "E.", "Di Sciascio", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:15:05", "2012-06-01 23:43:18", "DGNMUJVF", ""
"149", "Towards linked data internationalization-realizing the Greek DBpedia", "conferencePaper", "ACM WebSci", "2011-00-00 2011", "", "", "", "", "", "", "", "", "", "", "", "Proceedings of the ACM WebSci'11", "", "", "", "", "", "D.", "Kontokostas", "", "author", "C.", "Bratsas", "", "author", "S.", "Auer", "", "author", "S.", "Hellmann", "", "author", "I.", "Antoniou", "", "author", "", "", "", "", "2012-05-23 20:15:48", "2012-06-02 00:01:53", "8334RRAR", ""
"151", "Update Strategies for DBpedia Live", "conferencePaper", "ESWC", "2010-00-00 2010", "", "", "", "", "", "", "", "", "", "", "", "6th Workshop on Scripting and Development for the Semantic Web Colocated with ESWC", "", "", "", "", "", "C.", "Stadler", "", "author", "M.", "Martin", "", "author", "J.", "Lehmann", "", "author", "S.", "Hellmann", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:15:48", "2012-06-02 00:04:42", "KKGDV7S3", ""
"153", "DBpedia Navigator", "conferencePaper", "ISWC", "2008-00-00 2008", "", "", "", "", "", "", "", "", "", "", "", "ISWC Billion Triple Challenge", "", "", "", "", "", "J.", "Lehmann", "", "author", "S.", "Knappe", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:15:48", "2012-06-01 22:05:55", "UN5UXFXU", ""
"157", "Movie recommendation with dbpedia", "conferencePaper", "IIR", "2012-00-00 2012", "", "", "", "", "", "", "", "", "", "", "", "3rd Italian Information Retrieval Workshop (IIR 2012). CEUR-WS", "", "", "", "", "", "R.", "Mirizzi", "", "author", "T.", "Di Noia", "", "author", "A.", "Ragone", "", "author", "V.", "Ostuni", "", "author", "E.", "Di Sciascio", "", "author", "", "", "", "", "2012-05-23 20:15:48", "2012-06-01 23:23:20", "62B386PS", ""
"158", "DSNotify: handling broken links in the web of data", "conferencePaper", "WWW", "2010-00-00 2010", "", "978-1-60558-799-8", "10.1145/1772690.1772768", "http://doi.acm.org/10.1145/1772690.1772768", "", "", "", "WWW '10", "761–770", "ACM", "New York, NY, USA", "Proceedings of the 19th international conference on World wide web", "", "", "", "", "The Web of Data has emerged as a way of exposing structured linked data on the Web. It builds on the central building blocks of the Web (URIs, HTTP) and benefits from its simplicity and wide-spread adoption. It does, however, also inherit the unresolved issues such as the broken link problem. Broken links constitute a major challenge for actors consuming Linked Data as they require them to deal with reduced accessibility of data. We believe that the broken link problem is a major threat to the whole Web of Data idea and that both Linked Data consumers and providers will require solutions that deal with this problem. Since no general solutions for fixing such links in the Web of Data have emerged, we make three contributions into this direction: first, we provide a concise definition of the broken link problem and a comprehensive analysis of existing approaches. Second, we present DSNotify, a generic framework able to assist human and machine actors in fixing broken links. It uses heuristic feature comparison and employs a time-interval-based blocking technique for the underlying instance matching problem. Third, we derived benchmark datasets from knowledge bases such as DBpedia and evaluated the effectiveness of our approach with respect to the broken link problem. Our results show the feasibility of a time-interval-based blocking approach for systems that aim at detecting and fixing broken links in the Web of Data.", "Niko P.", "Popitsch", "", "author", "Bernhard", "Haslhofer", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "Linked Data", "blocking", "broken links", "instance matching", "2012-05-28 08:49:30", "2012-06-01 22:19:51", "29UEW6TD", ""
"160", "Bridging Ontologies and Folksonomies using DBpedia", "conferencePaper", "CSCS", "2009-00-00 2009", "", "", "", "", "", "", "", "", "", "", "", "the proceedings of the 17th International Conference on Control Systems and Computer Science. Bucharest, Romania", "", "", "", "", "", "V.", "Posea", "", "author", "S.", "Trausan-Matu", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:15:48", "2012-06-01 21:13:12", "BWKXS9SS", ""
"162", "DBpedia–Extracting structured data from Wikipedia", "conferencePaper", "Wikimania", "2009-00-00 2009", "", "", "", "", "", "", "", "", "", "", "", "Presentation à Wikimania, Buenos Aires, Argentine", "", "", "", "", "The DBpedia project is a community effort to extract structured information from Wikipedia and to make this information accessible on the Web as Linked Data. DBpedia allows one to ask sophisticated queries against Wikipedia, and to link other open data sets on the Web to Wikipedia data. Currently, the Web of interlinked data sources around DBpedia provides over 4.5 billion pieces of information and covers domains such as geographic information, people, companies, films, music, genes, drugs, books, and scientific publications.", "C.", "Becker", "", "author", "A.", "Jentzsch", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:15:48", "2012-06-01 21:38:30", "2XTZCBFX", ""
"169", "FRBRPedia: a tool for FRBRizing web products and linking FRBR entities to DBpedia", "conferencePaper", "JCDL", "2011-00-00 2011", "", "", "", "", "", "", "", "", "455–456", "", "", "Proceeding of the 11th annual international ACM/IEEE joint conference on Digital libraries", "", "", "", "", "", "F.", "Duchateau", "", "author", "N.", "Takhirov", "", "author", "T.", "Aalberg", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:12", "2012-06-01 22:32:40", "2EQ8B8TK", ""
"171", "Evaluating DBpedia Spotlight for the TAC-KBP Entity Linking Task", "conferencePaper", "TAC", "2011-00-00 2011", "", "", "", "", "", "", "", "", "", "", "", "Proceedings of the TACKBP 2011 Workshop", "", "", "", "", "", "P. N", "Mendes", "", "author", "J.", "Daiber", "", "author", "M.", "Jakob", "", "author", "C.", "Bizer", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:19:12", "2012-06-01 22:27:27", "VHN5IAQ5", ""
"173", "WhoKnows? Evaluating linked data heuristics with a quiz that cleans up DBpedia", "journalArticle", "", "2011-00-00 2011", "", "", "", "", "Interactive Technology and Smart Education", "4", "8", "", "236–248", "", "", "", "", "", "", "", "", "J.", "Waitelonis", "", "author", "N.", "Ludwig", "", "author", "M.", "Knuth", "", "author", "H.", "Sack", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:19:12", "2012-05-23 20:19:12", "6T6BS7TS", ""
"175", "Gorelations: An intuitive query system for dbpedia", "conferencePaper", "JIST", "2011-00-00 2011", "", "", "", "", "", "", "", "", "", "", "", "Proceedings of the Joint International Semantic Technology Conference", "", "", "", "", "Although a formal query language, SPARQL, is available for accessing DBpedia, it remains challenging for users to query the knowledge unless they are familiar with the syntax of SPARQL and the underlying ontology. We have developed both an intuitive semantic graph notation or interface allowing one to pose a query by annotating a graph with natural language terms denoting entities and relations and a system that automatically translates the query into SPARQL to produce an answer. Our key contributions are the robust techniques, combining statistical association and semantic similarity, that map user terms to the most appropriate classes and properties used in the DBpedia Ontology.", "L.", "Han", "", "author", "T.", "Finin", "", "author", "A.", "Joshi", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:12", "2012-06-01 22:40:40", "7QEAGFW9", ""
"182", "Building “Bag of Conception” Model Based on DBpedia", "journalArticle", "", "2009-00-00 2009", "", "", "", "", "Advances in Software Engineering", "", "", "", "66–78", "", "", "", "", "", "", "", "", "J.", "Liao", "", "author", "R.", "Bai", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:40", "2012-05-23 20:19:40", "TTTNNDPD", ""
"183", "INEX+ DBPEDIA: a corpus for semantic search evaluation", "conferencePaper", "WWW", "2010-00-00 2010", "", "", "", "", "", "", "", "", "1161–1162", "", "", "Proceedings of the 19th international conference on World wide web", "", "", "", "", "", "J. R", "Perez-Aguera", "", "author", "J.", "Arroyo", "", "author", "J.", "Greenberg", "", "author", "J.", "Perez-Iglesias", "", "author", "V.", "Fresno", "", "author", "", "", "", "", "2012-05-23 20:19:40", "2012-06-01 22:49:07", "VJBB3SHP", ""
"188", "Meta search engine powered by DBpedia", "conferencePaper", "STAIR", "2011-00-00 2011", "", "", "", "", "", "", "", "", "89–93", "", "", "Semantic Technology and Information Retrieval (STAIR), 2011 International Conference on", "", "", "", "", "", "B. V", "Keong", "", "author", "P.", "Anthony", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:40", "2012-06-01 23:21:16", "G7TJS3SU", ""
"190", "The German DBpedia: A Sense Repository for Linking Entities", "conferencePaper", "LDL", "2012-00-00 2012", "", "", "", "", "", "", "", "", "181–190", "", "", "Linked Data in Linguistics", "", "", "", "", "", "S.", "Hellmann", "", "author", "C.", "Stadler", "", "author", "J.", "Lehmann", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:40", "2012-06-01 23:53:16", "64S4F5KI", ""
"194", "A framework for integrating DBpedia in a multi-modality ontology news image retrieval system", "conferencePaper", "STAIR", "2011-00-00 2011", "", "", "", "", "", "", "", "", "144–149", "", "", "Semantic Technology and Information Retrieval (STAIR), 2011 International Conference on", "", "", "", "", "", "Y. I.", "Khalid", "", "author", "S. A.", "Noah", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:40", "2012-06-01 20:54:38", "9CTETX3K", ""
"195", "Models for Efficient Semantic Data Storage Demonstrated on Concrete Example of DBpedia", "conferencePaper", "DATESO", "2012-00-00 2012", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "I.", "Lašek", "", "author", "P.", "Vojtáš", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:40", "2012-06-01 23:23:10", "U3MJJ42N", ""
"201", "Integrating DBpedia in multi-modality ontology news image retrieval", "conferencePaper", "ICT4M", "2010-00-00 2010", "", "", "", "", "", "", "", "", "E4–E8", "", "", "Information and Communication Technology for the Muslim World (ICT4M), 2010 International Conference on", "", "", "", "", "", "M. K.", "Yanti Idaya Aspura", "", "author", "S.", "Azman", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:59", "2012-06-01 22:51:49", "NTKTW29F", ""
"202", "Semantic Linking of a Learning Object Repository to DBpedia", "conferencePaper", "ICALT", "2011-00-00 2011", "", "", "", "", "", "", "", "", "460–464", "", "", "Advanced Learning Technologies (ICALT), 2011 11th IEEE International Conference on", "", "", "", "", "", "M.", "Lama", "", "author", "J. C", "Vidal", "", "author", "E. O", "Garcia", "", "author", "A.", "Bugarín", "", "author", "S.", "Barro", "", "author", "", "", "", "", "2012-05-23 20:19:59", "2012-06-01 23:41:34", "QJFWW85K", ""
"203", "Internationalization of Linked Data: The case of the Greek DBpedia edition", "journalArticle", "", "2012-00-00 2012", "", "", "", "", "J. Web Sem.", "", "", "", "", "", "", "", "", "", "", "", "", "D.", "Kontokostas", "", "author", "C.", "Bratsas", "", "author", "S.", "Auer", "", "author", "S.", "Hellmann", "", "author", "I.", "Antoniou", "", "author", "", "", "", "", "2012-05-23 20:19:59", "2012-06-01 23:08:38", "KRDVB5DH", ""
"205", "Semantic Clustering of Scientific Articles with Use of DBpedia Knowledge Base", "journalArticle", "", "2012-00-00 2012", "", "", "", "", "Intelligent Tools for Building a Scientific Information Platform", "", "", "", "61–76", "", "", "", "", "", "", "", "A case study of semantic clustering of scientific articles related to Rough Sets is presented. The proposed method groups the documents on the basis of their content and with assistance of DBpedia knowledge base. The text corpus is first treated with Natural Language Processing tools in order to produce vector representations of the content and then matched against a collection of concepts retrieved from DBpedia. As a result, a new representation is constructed that better reflects the semantics of the texts. With this new representation, the documents are hierarchically clustered in order to form partition of papers that share semantic relatedness. The steps in textual data preparation, utilization of DBpedia and clustering are explained and illustrated with experimental results. Assessment of clustering quality by human experts and by comparison to traditional approach is presented.", "M.", "Szczuka", "", "author", "A.", "Janusz", "", "author", "K.", "Herba", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:59", "2012-06-01 23:40:54", "S2QUT5TV", ""
"206", "Integrating DBpedia and SentiWordNet for a tourism recommender system", "conferencePaper", "ICCP", "2011-00-00 2011", "", "", "", "", "", "", "", "", "133–136", "", "", "Intelligent Computer Communication and Processing (ICCP), 2011 IEEE International Conference on", "", "", "", "", "", "B.", "Varga", "", "author", "A.", "Groza", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:59", "2012-06-01 22:51:14", "B22B6FNN", ""
"207", "Discovering Relevant Topics Using DBPedia: Providing Non-obvious Recommendations", "conferencePaper", "WI-IAT", "2011-00-00 2011", "", "", "", "", "", "", "1", "", "219–222", "", "", "Web Intelligence and Intelligent Agent Technology (WI-IAT), 2011 IEEE/WIC/ACM International Conference on", "", "", "", "", "", "M.", "Stankovic", "", "author", "W.", "Breitfuss", "", "author", "P.", "Laublet", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:19:59", "2012-06-01 22:15:11", "IEQK3R6Z", ""
"209", "Identifying Topics in Social Media Posts using DBpedia", "conferencePaper", "NEM", "2011-00-00 2011", "", "", "", "", "", "", "", "", "", "", "", "In Proceedings of the NEM Summit", "", "", "", "", "This paper describes a method for identifying topics in text published in social media, by applying topic recognition techniques that exploit DBpedia. We evaluate such method for social media in Spanish and we provide the results of the evaluation performed.", "O.", "Muñoz-García", "", "author", "A.", "García-Silva", "", "author", "Ó", "Corcho", "", "author", "M.", "de la Higuera Hernández", "", "author", "C.", "Navarro", "", "author", "", "", "", "", "2012-05-23 20:19:59", "2012-06-01 22:44:13", "8XJR4CX2", ""
"211", "An Approach for Supplementing the Korean Wikipedia based on DBpedia", "conferencePaper", "ESWC", "2010-00-00 2010", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "E.", "Kim", "", "author", "D. H", "Choi", "", "author", "J.", "Lee", "", "author", "J. H", "Ahn", "", "author", "K. S", "Choi", "", "author", "", "", "", "", "2012-05-23 20:19:59", "2012-06-21 17:55:27", "BAW2EJVM", ""
"213", "Semantic Web Game Based Learning: An I18n approach with Greek DBpedia", "conferencePaper", "WWW", "2012-00-00 2012", "", "", "", "", "", "", "", "", "", "", "", "21st International World Wide Web Conference (WWW2012)", "", "", "", "", "", "C.", "Bratsas", "", "author", "D. E", "Chrysou", "", "author", "A.", "Eftychiadou", "", "author", "D.", "Kontokostas", "", "author", "P.", "Bamidis", "", "author", "", "", "", "", "2012-05-23 20:19:59", "2012-06-01 23:47:31", "NT6ZF9PZ", ""
"222", "Improving Wikipedia with DBpedia", "conferencePaper", "WWW", "2012-00-00 2012", "", "", "", "", "", "", "", "", "1107–1112", "", "", "Proceedings of the 21st international conference companion on World Wide Web", "", "", "", "", "DBpedia is the semantic mirror of Wikipedia. DBpedia extracts information from Wikipedia and stores it in a semantic knowledge base. This semantic feature relies in making complex queries inferring relations among articles which sometimes are missing in Wikipedia. This difference generates an information gap between DBpedia and Wikipedia. Could be improved Wikipedia with DBpedia new information to reduce this gap? How this new information should be added to Wikipedia? In this article, we propose a path indexing algorithm (PIA) who takes a data set of a DBPedia query and returns the best representative path to be applied in the Wikipedia. We evaluate the results of applying PIA to express the relation between people and their birth city.", "D.", "Torres", "", "author", "P.", "Molli", "", "author", "H.", "Skaf-Molli", "", "author", "A.", "Diaz", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:20:20", "2012-06-01 22:47:09", "59W8DSAT", ""
"226", "Slicing linked data by extracting significant, self-describing subsets: the DBpedia case", "conferencePaper", "ICWE", "2010-00-00 2010", "", "", "", "", "", "", "", "", "223–231", "", "", "Current Trends in Web Engineering", "", "", "", "", "", "M.", "Minno", "", "author", "D.", "Palmisano", "", "author", "M.", "Mostarda", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:20:20", "2012-06-01 23:50:44", "ISMDJKSG", ""
"230", "Domain-aware Matching of Events to DBpedia", "conferencePaper", "ISWC", "2011-00-00 2011", "", "", "", "", "", "", "779", "", "117–121", "", "", "Proceedings of the Workhop on Detection, Representation, and Exploitation of Events in the Semantic Web (DeRiVE 2011), workshop in conjunction with the 10th International Semantic Web Conference 2011 (ISWC 2011)$}$", "", "", "", "", "", "K.", "Slabbekoorn", "", "author", "L.", "Hollink", "", "author", "G. J", "Houben", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:20:20", "2012-06-01 22:17:44", "WCBPKHUX", ""
"236", "Round-trip semantics with Sztakipedia and DBpedia Spotlight", "conferencePaper", "WWW", "2012-00-00 2012", "", "", "", "", "", "", "", "", "357–360", "", "", "Proceedings of the 21st international conference companion on World Wide Web", "", "", "", "", "We describe a tool kit to support a knowledge-enhancement cycle on the Web. In the first step, structured data which is extracted from Wikipedia is used to construct automatic content enhancement engines. Those engines can be used to interconnect knowledge in structured and unstructured information sources on the Web, including Wikipedia it- self. Sztakipedia-toolbar is a MediaWiki user script which brings DBpedia Spotlight and other kinds of machine in- telligence into the Wiki editor interface to provide enhance- ment suggestions to the user. The suggestions offered by the tool focus on complementing knowledge and increasing the availability of structured data on Wikipedia. This will, in turn, increase the available information for the content en- hancement engines themselves, completing a virtuous cycle of knowledge enhancement.", "M.", "Héder", "", "author", "P. N", "Mendes", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:20:20", "2012-06-01 23:39:20", "9GZCKVND", ""
"239", "DBpedia: A Multilingual Cross-Domain Knowledge Base", "conferencePaper", "LREC", "2012-00-00 2012", "", "", "", "", "", "", "", "", "", "", "", "Proceedings of the International Conference on Language Resources and Evaluation", "", "", "", "", "", "P. N", "Mendes", "", "author", "M.", "Jakob", "", "author", "C.", "Bizer", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:20:20", "2012-06-01 21:29:22", "UUIFEQXF", ""
"247", "Integrating Knowledge of City Entities Extracted from DBpedia and GeoLite into the EKOSS Failure Cases Repository to Enhance Semantic Search Capabilities", "journalArticle", "", "2011-00-00 2011", "", "", "", "", "ijcisim", "", "", "", "", "", "", "", "", "", "", "", "", "W.", "Guo", "", "author", "S. B", "Kraines", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:20:37", "2012-06-01 23:05:04", "ZDCSWUC2", ""
"249", "DBpedia and the Live Extraction of Structured Data from Wikipedia", "journalArticle", "", "2012-00-00 2012", "", "", "", "", "Program: electronic library and information systems", "2", "46", "", "2–2", "", "", "", "", "", "", "", "", "M.", "Morsey", "", "author", "J.", "Lehmann", "", "author", "S.", "Auer", "", "author", "C.", "Stadler", "", "author", "S.", "Hellmann", "", "author", "", "", "", "", "2012-05-23 20:20:37", "2012-05-23 20:20:37", "RMTFGQGT", ""
"250", "Towards Better Understanding and Utilizing Relations in DBpedia", "journalArticle", "", "", "", "", "", "", "Web Intelligence and Agent Systems", "", "", "", "", "", "", "", "", "", "", "", "", "L.", "Fu", "", "author", "H.", "Wang", "", "author", "Y.", "Yu", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:20:37", "2012-06-01 23:58:39", "7AHEHC28", ""
